City_ID,City,Country,Max_Temp_(F),Wx_Desc,Lat,Lon,Hotel_Name
0,Axim,GH,79.74,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
1,Hermanus,ZA,68.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Carnarvon,AU,73.47,few clouds,-24.8667,113.6333,Hospitality Carnarvon
3,Pringsewu,ID,73.15,overcast clouds,-5.3582,104.9744,Urban Style by Front One
4,Namatanai,PG,84.43,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
5,Laguna,US,73.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
6,Arraial Do Cabo,BR,76.55,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Port Alfred,ZA,71.2,overcast clouds,-33.5906,26.891,The Halyards Hotel
8,Coolum Beach,AU,79.34,clear sky,-26.5333,153.1,Coolum Beach Resort
9,Hirara,JP,71.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
10,Rikitea,PF,80.1,clear sky,-23.1203,-134.9692,People ThankYou
11,Salalah,OM,69.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
12,Kutum,SD,67.82,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
13,Kavieng,PG,85.14,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
14,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Namibe,AO,73.33,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
17,Ahipara,NZ,73.56,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
18,Taltal,CL,66.42,scattered clouds,-25.4,-70.4833,Residencial Karime
19,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Busselton,AU,65.21,broken clouds,-33.65,115.3333,Observatory Guest House
22,Cape Coast,GH,79.75,broken clouds,5.1053,-1.2466,Samrit Hotel
23,Baghmara,IN,74.68,scattered clouds,23.795,86.2085,Shankar tea shop
24,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
25,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
27,East London,ZA,71.15,light rain,-33.0153,27.9116,Tu Casa
